Источник;Код;Замечание
база;MXHR0101;агент есть в базе, но не найден в файле
база;MXS0103;агент есть в базе, но не найден в файле
база;NV0101;агент есть в базе, но не найден в файле
база;NV0102;агент есть в базе, но не найден в файле
база;NV0103;агент есть в базе, но не найден в файле
база;NV0104;агент есть в базе, но не найден в файле
база;NV0105;агент есть в базе, но не найден в файле
база;NV0106;агент есть в базе, но не найден в файле
база;NVKA0101;агент есть в базе, но не найден в файле
база;NVS0101;агент есть в базе, но не найден в файле
база;NVS0104;агент есть в базе, но не найден в файле
база;NVTOPKA;агент есть в базе, но не найден в файле
база;OR0120;агент есть в базе, но не найден в файле
база;OR0121;агент есть в базе, но не найден в файле
база;ORHR0101;агент есть в базе, но не найден в файле
база;ORKA0101;агент есть в базе, но не найден в файле
база;ORTP0103;агент есть в базе, но не найден в файле
база;OZODBEK;агент есть в базе, но не найден в файле
база;UL1111;агент есть в базе, но не найден в файле
база;ULKA0101;агент есть в базе, но не найден в файле
база;ULTP0101;агент есть в базе, но не найден в файле
база;ULTP0102;агент есть в базе, но не найден в файле
